digits,Grade_school_seconds,Karatsuba_seconds,Match
8,3.230300000112152e-05,0.00014750300000088146,True
16,4.5304000000356837e-05,0.00032918299999806777,True
32,0.00013844200000079354,0.0010720250000026965,True
64,0.0005834769999992773,0.003440545000000128,True
128,0.001907497000001257,0.011106172000001635,True
256,0.008907713999999345,0.03211663900000161,True
