n,Traditional_seconds,Strassen_seconds,Match
2,2.4109999969823548e-06,2.4060000001213666e-06,True
4,7.409999998486683e-06,3.153799999822127e-05,True
8,4.497099999767329e-05,0.0002578849999999022,True
16,0.00035535299999978065,0.0020674870000014778,True
32,0.002934336999999232,0.015497196000001878,True
64,0.023332526999997327,0.11645875299999986,True
